[17:25:58.106] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[17:25:58.107] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.107] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x75; discarded 1 byte(s)
[17:25:58.107] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.108] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6b; discarded 1 byte(s)
[17:25:58.108] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.108] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[17:25:58.108] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x77; discarded 1 byte(s)
[17:25:58.109] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.109] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.109] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x63; discarded 1 byte(s)
[17:25:58.110] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6f; discarded 1 byte(s)
[17:25:58.110] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.111] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6d; discarded 1 byte(s)
[17:25:58.111] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[17:25:58.112] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6e; discarded 1 byte(s)
[17:25:58.112] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x64; discarded 1 byte(s)
[17:25:58.112] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[17:25:58.113] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.113] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x29; discarded 1 byte(s)
[17:25:58.114] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.114] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4c; discarded 1 byte(s)
[17:25:58.114] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x43; discarded 1 byte(s)
[17:25:58.114] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4f; discarded 1 byte(s)
[17:25:58.115] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4d; discarded 1 byte(s)
[17:25:58.115] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x3a; discarded 1 byte(s)
[17:25:58.115] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[17:25:58.116] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x55; discarded 1 byte(s)
[17:25:58.116] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4e; discarded 1 byte(s)
[17:25:58.116] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4b; discarded 1 byte(s)
[17:25:58.117] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x4e; discarded 1 byte(s)
[17:25:58.117] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x5e; discarded 1 byte(s)
[17:25:58.118] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x41; discarded 1 byte(s)
