[23:25:36.831] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.831] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.831] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.832] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.832] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.832] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.832] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.833] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.833] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.833] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.834] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.834] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.834] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.834] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.835] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.835] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.836] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.836] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.836] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x08; discarded 1 byte(s)
[23:25:36.837] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x2c; discarded 1 byte(s)
[23:25:36.837] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x48; discarded 1 byte(s)
[23:25:36.837] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0d; discarded 1 byte(s)
[23:25:36.838] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x0a; discarded 1 byte(s)
[23:25:36.838] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x57; discarded 1 byte(s)
[23:25:36.838] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.839] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x28; discarded 1 byte(s)
[23:25:36.839] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x35; discarded 1 byte(s)
[23:25:36.839] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x35; discarded 1 byte(s)
[23:25:36.840] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x33; discarded 1 byte(s)
[23:25:36.840] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x37; discarded 1 byte(s)
[23:25:36.840] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x33; discarded 1 byte(s)
[23:25:36.840] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x34; discarded 1 byte(s)
[23:25:36.841] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x29; discarded 1 byte(s)
[23:25:36.841] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x20; discarded 1 byte(s)
[23:25:36.841] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x73; discarded 1 byte(s)
[23:25:36.842] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x65; discarded 1 byte(s)
[23:25:36.842] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x72; discarded 1 byte(s)
[23:25:36.842] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x69; discarded 1 byte(s)
[23:25:36.843] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x61; discarded 1 byte(s)
[23:25:36.843] BAD_PACKET[TCP_prs2026hitl_7100] unknown packet ID 0x6c; discarded 1 byte(s)
