packet_index,byte_offset,packet_id,packet_type,frame_length,time_seconds,status,uptime,filtered_accel_x,filtered_accel_y,filtered_accel_z,gyro_x,gyro_y,gyro_z,fc_status,fc_uptime,current_sense_ch1,current_sense_ch2,current_sense_ch3,iris_battery_voltage,command_value,mcu_temperature,orientation_x,orientation_y,orientation_z,orientation_w,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,latitude,longitude,gps_altitude,barometric_altitude,witness_battery_voltage,raw_packet_hex
16,60549,0x05,command,10,4292411.411,65401,4292411411,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 13 00 26 0a
17,60645,0x05,command,10,4294115.319,65401,4294115319,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,05 ff 79 ff f2 ff f7 00 1a 0a
18,60981,0x05,command,10,4292345.875,65401,4292345875,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 79 ff d8 00 13 00 25 0a
19,61212,0xFF,heartbeat,8,2113394.432,62976,2113394432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff f6 00 7d f7 d7 00 0a
20,61365,0x05,command,10,4292345.875,65401,4292345875,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 79 ff d8 00 13 00 24 0a
21,61413,0x05,command,10,4292411.412,65404,4292411412,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 7c ff d9 00 14 00 25 0a
22,61749,0x05,command,10,4292345.875,65402,4292345875,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7a ff d8 00 13 00 24 0a
23,61905,0x01,sensors,23,3.622,32943,3622,176.78008,-49.80736,52.35036,1361.99,1989.12,0.35,,,,,,,,,,,,,,,,,,,,,,,,01 80 af 00 00 0e 26 43 6f ae ed 00 00 13 f8 57 4c 01 6f 00 00 05 0a
24,62469,0x05,command,10,4291887.128,65401,4291887128,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,05 ff 79 ff d1 00 18 00 20 0a
25,62565,0x05,command,10,4292083.731,65401,4292083731,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 79 ff d4 00 13 00 25 0a
26,62997,0x05,command,10,4294836.225,65401,4294836225,,,,,,,,,,,,,65534,,,,,,,,,,,,,,,,,05 ff 79 ff fe 00 01 ff fe 0a
27,63381,0x05,command,10,4292280.337,65401,4292280337,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 79 ff d7 00 11 00 24 0a
28,63477,0x05,command,10,4292280.338,65402,4292280338,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7a ff d7 00 12 00 24 0a
29,63573,0x05,command,10,4292411.412,65401,4292411412,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,05 ff 79 ff d9 00 14 00 25 0a
30,63621,0x05,command,10,4292411.412,65402,4292411412,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,05 ff 7a ff d9 00 14 00 24 0a
