I (169) w25n01kv: initialized W25N01KV JEDEC EF AE 21, SR1=0x00 SR2=0x19
I (179) flash_logger: startup test block 1023 wrote/read:
E (20779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (20979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (21159) uart2: could not forward 14 UART bytes: ESP_ERR_NO_MEM
E (21199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21349) sensors: state packet queue failed: ESP_ERR_NO_MEM
W (21379) uart2: could not forward 64 UART bytes: ESP_ERR_NO_MEM
W (21389) uart2: discarded UART packet 0x01 with invalid EOF
W (21389) uart2: discarded UART packet 0x03 with invalid EOF
W (21399) uart2: could not forward 11 UART bytes: ESP_ERR_NO_MEM
E (21479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
W (21509) uart2: could not forward 16 UART bytes: ESP_ERR_NO_MEM
E (21579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (21979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
I (22249) flight_state: burnout detected: axial acceleration 0.32 g
I (22249) flight_state: boost -> coast
E (22299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (22479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (22979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (23479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (23979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (24479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (24979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (25479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (25979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (26479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (26979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
I (27069) sensors: radio RX: 10 bytes, packet ID 0x05
I (27069) sensors: 05 00 00 00 00 00 00 73 03 0a
W (27069) sensors: could not forward 10-byte radio packet to USB: ESP_ERR_NO_MEM
E (27079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
I (27089) serial_command: acting on radio command 0x7303
I (27089) flight_state: coast -> descent
E (27199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (27479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27779) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27879) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (27979) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28079) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28199) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28299) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28349) sensors: state packet queue failed: ESP_ERR_NO_MEM
E (28479) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28579) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
E (28679) sensors: sensor packet queue failed: ESP_ERR_NO_MEM
